Indicator,Description
Rand per British Pound,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2024-02-26,24.4911
 2024-02-23,24.3847
 2024-02-22,23.9389
 2024-02-21,23.8335
 2024-02-20,23.9973
 2024-02-19,23.8486
 2024-02-16,23.7491
 2024-02-15,23.8477
 2024-02-14,24.0714
 2024-02-13,23.8276
 2024-02-12,23.9843
 2024-02-09,24.0104
 2024-02-08,23.9324
 2024-02-07,23.8006
 2024-02-06,23.7968
 2024-02-05,23.9314
 2024-02-02,23.7732
 2024-02-01,23.6743
 2024-01-31,23.7346
 2024-01-30,23.9399
 2024-01-29,23.8579
 2024-01-26,24.0124
 2024-01-25,24.0434
 2024-01-24,23.9819
 2024-01-23,24.3294
 2024-01-22,24.3201
 2024-01-19,24.0656
 2024-01-18,24.1211
 2024-01-17,24.0915
 2024-01-16,23.8738
 2024-01-15,23.8015
 2024-01-12,23.7364
 2024-01-11,23.7785
 2024-01-10,23.7016
 2024-01-09,23.7383
 2024-01-08,23.8689
 2024-01-05,23.8209
 2024-01-04,23.6794
 2024-01-03,23.4986
 2024-01-02,23.399
 2023-12-29,23.6984
 2023-12-28,23.6203
 2023-12-27,23.5071
 2023-12-22,23.3958
 2023-12-21,23.0316
 2023-12-20,23.1572
 2023-12-19,23.5101
 2023-12-18,23.2467
 2023-12-14,23.5024
 2023-12-13,23.8646
 2023-12-12,23.8765
 2023-12-11,23.9315
 2023-12-08,23.6605
 2023-12-07,23.8173
 2023-12-06,23.8542
 2023-12-05,23.7543
 2023-12-04,23.6898
 2023-12-01,23.8076
 2023-11-30,23.7785
 2023-11-29,23.5435
 2023-11-28,23.5836
 2023-11-27,23.7482
 2023-11-24,23.6989
 2023-11-23,23.525
 2023-11-22,23.4976
 2023-11-21,22.9438
 2023-11-20,22.9582
 2023-11-17,22.7843
 2023-11-16,22.508
 2023-11-15,22.6671
 2023-11-14,23.0356
 2023-11-13,22.8683
 2023-11-10,22.8186
 2023-11-09,22.8385
 2023-11-08,22.5933
 2023-11-07,22.6155
