Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2018-11-22,13.931
 2018-11-21,14.0324
 2018-11-20,14.0135
 2018-11-19,13.9304
 2018-11-16,14.1681
 2018-11-15,14.2479
 2018-11-14,14.3977
 2018-11-13,14.4033
 2018-11-12,14.389
 2018-11-09,14.2802
 2018-11-08,13.9353
 2018-11-07,14.0058
 2018-11-06,14.216
 2018-11-05,14.3874
 2018-11-02,14.3016
 2018-11-01,14.6199
 2018-10-31,14.6506
 2018-10-30,14.6333
 2018-10-29,14.5506
 2018-10-26,14.656
 2018-10-25,14.547
 2018-10-24,14.2548
 2018-10-23,14.3722
 2018-10-22,14.3249
 2018-10-19,14.4162
 2018-10-18,14.2116
 2018-10-17,14.2353
 2018-10-16,14.2974
 2018-10-15,14.4741
 2018-10-12,14.4774
 2018-10-11,14.6587
 2018-10-10,14.6266
 2018-10-09,14.86
 2018-10-08,14.9374
 2018-10-05,14.7946
 2018-10-04,14.7287
 2018-10-03,14.3426
 2018-10-02,14.3202
 2018-10-01,14.109
 2018-09-28,14.1581
 2018-09-27,14.1595
 2018-09-26,14.2923
 2018-09-25,14.4062
 2018-09-21,14.243
 2018-09-20,14.4579
 2018-09-19,14.7379
 2018-09-18,14.904
 2018-09-17,14.9919
 2018-09-14,14.7924
 2018-09-13,14.8524
 2018-09-12,15.0289
 2018-09-11,15.051
 2018-09-10,15.16
 2018-09-07,15.1412
 2018-09-06,15.3164
 2018-09-05,15.5487
 2018-09-04,15.0512
 2018-09-03,14.7238
 2018-08-31,14.6545
 2018-08-30,14.5954
 2018-08-29,14.3791
 2018-08-28,14.1545
 2018-08-27,14.2986
 2018-08-24,14.3141
 2018-08-23,14.3578
 2018-08-22,14.4359
 2018-08-21,14.3838
 2018-08-20,14.4698
 2018-08-17,14.7038
 2018-08-16,14.4624
 2018-08-15,14.3246
 2018-08-14,14.292
 2018-08-13,14.4797
 2018-08-10,13.9231
 2018-08-08,13.3258
 2018-08-07,13.3375
 2018-08-06,13.386
 2018-08-03,13.4584
 2018-08-02,13.3216
 2018-08-01,13.2809
 2018-07-31,13.1591
