Municipality,Artificial Waterbodies,Commercial,Consolidated,Extraction Sites,Fallow Lands & Old Fields,Herbaceous Wetlands,Industrial,Karoo & Fynbos Shubland,Natural Grassland,Natural Waterbodies,Natural Wooded Land,Permanent Crops,Planted Forest,Residential,Shrubs,Smallholdings,Surface Infrastructure,Temporary Crops,Transport,Unconsolidated,Urban Vegetation,Village,Waste & Resource Dumps,Woody Wetlands
lephalale,0.12080371613731111,0.011631930969220898,0.23870016704613653,0.059485319004653474,2.333805566676039,0.46409974909859497,0.055506925735895066,0.0,4.923895994425724,0.1212007638832292,7.308904718907853,0.019755512336330296,0.07111285469033289,0.44441193216624403,0.0,0.003683840297940418,0.02114835336777797,5.027848540607073,0.08268340392171769,0.15539704649540584,0.004494279291617774,0.059094879801223715,0.21093891224174618,0.0
lesedi,0.6770472715085633,0.15141058447953196,0.1105088758295151,0.07931566239108563,4.69738697908689,1.9823904264445489,0.360563999123317,0.0,19.05643726790176,0.12735189995764123,6.413813388697767,0.0,1.8312886447289372,1.4322172670013193,0.0,1.4859353313821575,0.0,23.020859745841133,0.11770669961032314,0.28351934074703183,0.05768376704412835,0.4587542579196974,0.1943802566536233,0.0
letsemeng,0.5635767047802758,0.006369550507098887,0.2726144190406874,0.025457645616030113,2.8324752137185945,0.6448316319404478,0.007416815993970224,3.1173364589981194,4.660398365241763,1.4232264829458428,5.609989929977082,0.08369265891955015,0.30089850002775076,0.10209594442688807,0.510666097524236,0.0024658166042774384,0.004598897053313509,11.412115930312861,0.058724125201166544,0.46248209227891035,0.00883865310840658,0.05302450257548214,0.021579702984974827,0.0
madibeng,0.7963116945052762,0.08330430069340371,0.1492410267586339,0.23333620590384743,6.697633328769155,1.3678312588596162,0.45223008807342224,0.0,11.7154173269914,0.07246377446942862,19.39156677413081,0.6986297643603072,0.8371011900900764,5.5317578579066575,0.0,0.9688581986420544,0.107523760697771,11.196946698973868,0.09385355050286968,0.15968207224194533,0.07268731099805421,0.3427654616164542,0.5308159400380065,0.0
mafikeng,0.2321019496805812,0.1503407542590274,0.036385390342677425,0.22999965912727585,5.834002385866701,0.024549920445111034,0.12276813402459415,0.0,15.285975511904775,0.04831938429116239,20.34585998988974,0.003933986477655709,0.3129049633106032,7.036839937599584,0.03932093020143654,0.06484410303752092,0.011786587195818026,13.268348617123936,0.10814039138569972,0.02947549517763965,0.05108343105848423,0.27339174906850283,0.026501792424674996,0.0
mafube,0.24030693974469533,0.021369861009654424,0.0062219635837021964,0.01780963528769157,2.19949785584574,5.231944457774795,0.02760464954621735,0.0,13.047812387955693,0.29918989161429604,0.14242417770667812,0.0008903217834755413,0.3561875459372362,0.39176808387320416,0.0,0.032953077200219574,0.0,28.195621027735466,0.06323331924805799,0.2911254055126047,0.015146629913437981,0.1487358351288907,0.005345949497998622,0.0
magareng,0.10445108055466996,0.024976371294278765,0.018177531377836717,0.15242456410713276,1.4351963963837187,0.20875328467103765,0.018164073429096133,0.0,5.816065273772436,0.6905554947257241,17.118741370362052,1.0300413390922278,0.02498013155706458,0.4223473024789972,0.23889952009193596,0.0,0.0,4.005425630956955,0.13173367549147383,0.05909441212433844,0.0022705757075813945,0.09540189224054912,0.0,0.0
makana,0.10672278957477527,0.017549261328407745,0.014490206026429055,0.038134114199263415,1.4231232929100086,0.06410430370023519,0.009911077955344518,7.0656080159177765,11.272121694345048,0.04339188369125813,44.79182977955008,0.6533422951352976,0.29109976965936113,0.5553956035706761,0.3052895041793952,0.0,0.0,4.251827987763983,0.11053669235609344,1.1894236741864148,0.04043582474869721,0.050303719818922336,0.0,0.0
makhado,0.1916836960352035,0.03133218407565998,0.08043906090834271,0.014449122078943529,5.84796376465379,0.12385561412516657,0.057356133805249794,0.0,5.913504775825516,0.003370325637020511,18.088593379541845,1.0861725166867897,1.1294252519508399,3.766347139882261,0.004335642655621708,0.0038572654410571772,0.0,5.0915849747718624,0.03710527628291063,0.15832457786506338,0.009640740325164508,0.06456179534351977,0.000962464583753625,0.0
makhuduthamaga,0.097681269167114,0.015448971982433843,0.730355955606014,0.10120027847438864,5.718827778711526,0.05483493060919724,0.006862332123193615,0.0,16.954601984526295,0.008564677242428563,13.422056677792517,0.0,0.015451559508238864,13.084868847625838,0.0,0.0,0.0,10.89743661398447,0.09770810867544161,1.8278138738919636,0.0,1.3035046962059922,0.0,0.0
maluti a phofung,1.8995176274221288,0.11498717668520048,0.9192529548882777,0.024264397305638598,5.044424023718065,1.1586771741626214,0.14636483432718633,0.0,4.578998201568082,0.1777699425196516,1.1113312980966812,0.008074651471199734,1.4002001687636043,3.4290466266341975,0.0,0.03239913751539178,0.0,16.58586242012249,0.08650821634124586,0.34473674915156394,0.052583138728157564,0.15603121610005738,0.0,0.0
mamusa,0.20055808836379907,0.019653813863695777,0.01966852026409777,0.22525268789827624,6.793896982714474,0.000984785216389233,0.010804214549134017,0.0,17.32515792568145,0.15735944404802155,9.92014984256148,0.0019646611753923893,0.29976479832455283,0.3145463730496219,0.0717985255560523,0.04029291415114758,0.0,8.65697378319752,0.11012676867995347,0.05604485655636372,0.016708619863715732,0.0983060965534687,0.0,0.0
mandeni,0.14432405998327316,0.08159229071198322,0.07525815436862328,0.06277701877111556,1.3433985537022208,1.7634862611033975,0.5270491529764221,0.0,9.756974199029665,0.8916268238392066,14.91686029438565,12.53954031699816,2.409797376069235,23.49751499129784,0.0,0.0,0.006278634474086192,3.4062592697789587,0.15063485806838456,0.3703538196715292,0.05022193293222186,1.656461010375534,0.0,0.0
mangaung,1.159065740933102,0.17577065330729302,0.10025936095695391,0.07578954022777729,2.348144014004417,1.110902262704384,0.14803746356074027,0.0,4.672965924042483,0.3562310272488737,3.390064347238791,0.009826946540977283,0.7009037301516816,1.917126640131415,0.08178087374064157,2.043822191531544,0.0017528075442324253,19.793946659951413,0.04249619187397059,0.6219211041470798,0.09157121649679897,0.1611666479564853,0.005263706746400728,0.0
mantsopa,0.746920856577461,0.015419372721269638,0.6909459072596954,0.013799464295552294,4.8416579196410074,0.9340136669839721,0.010549486393313323,0.0,13.71525386256565,0.08931196777318169,2.8976394834707797,0.004043547765476675,1.1397657477141805,0.2954771664040892,0.003236145197836926,0.0,0.0,29.269609943930703,0.08522857119830704,1.0921469682666909,0.042198802862917446,0.16312686921814343,0.0,0.0
