Municipality,artificial dams (including canals),artificial flooded mine pits,artificial sewage ponds,bare riverbed material,coastal sand & dunes,commercial,commercial annual crops non-pivot irrigated,commercial annual crops pivot irrigated,commercial annual crops rain-fed / dryland,contiguous & dense plantation forest,contiguous (indigenous) forest,contiguous low forest & thicket,cultivated commercial permanent orchards,cultivated commercial permanent pineapples,cultivated commercial permanent vines,cultivated commercial sugarcane non-pivot,cultivated commercial sugarcane pivot irrigated,cultivated emerging farmer sugarcane non-pivot,dense forest & woodland,dry pans,eroded lands,fallow land & old fields (bare),fallow land & old fields (bush),fallow land & old fields (grass),fallow land & old fields (low shrub),fallow land & old fields (trees),fallow land & old fields (wetlands),herbaceous wetlands (currently mapped),herbaceous wetlands (previously mapped),industrial,land-fills,low shrubland (fynbos),low shrubland (nama karoo),low shrubland (other),low shrubland (succulent karoo),mangrove wetlands,mine: tailings and resource dumps,"mines: extraction pits, quarries",mines: salt mines,mines: surface infrastructure,natural estuaries & lagoons,natural grassland,natural lakes,natural ocean & coastal,natural pans (flooded @ observation times),natural rivers,natural rock surfaces,open & sparse plantation forest,open woodland,other bare,residential formal (bare),residential formal (bush),residential formal (low veg / grass),residential formal (tree),residential informal (bare),residential informal (bush),residential informal (low veg / grass),residential informal (tree),roads & rails (major linear),sand dunes (terrestrial),smallholdings (bare),smallholdings (bush),smallholdings (low veg / grass),smallholdings (tree),sparsely wooded grassland,subsistence / small-scale annual crops,temporary unplanted (clear-felled) plantation forest,urban recreational fields (bare),urban recreational fields (bush),urban recreational fields (grass),urban recreational fields (tree),village dense (bare & low veg / grass combo),village scattered (bare & low veg/ grass combo)
sol plaatje,0.13706602842324372,0.05908474399756255,0.005276048045168264,0.005270138619473819,0.0,0.23739187682663565,0.03273993888967555,1.8841249329585086,0.1919672562843654,0.005278974232497173,0.0,0.029531947736946763,0.0,0.0,0.0,0.0,0.0,0.0,0.657028290180461,0.1667722196328689,0.04751676830139532,0.0,0.11287194854908152,0.5987470163957133,0.008435961735039986,0.030579137812869042,0.0,0.030588660229359153,0.033743788771621,0.16038913044446657,0.0,0.0,0.006338998949709848,1.101348928617733,0.0,0.0,0.3239327643485944,0.3828820854748705,0.0010525508604404563,0.02321223494417829,0.0,1.7630385455325475,0.0,0.0,0.42704976022214386,0.018964536260588447,0.0,0.012666607047826791,8.673023702059426,0.025310857662850645,0.1898784364325798,0.27853231494941477,0.7754474821572167,0.04326465877917622,0.0042172647583242975,0.03798000726995463,0.15196615756685308,0.0031639403611457796,0.10978955099351673,0.0,0.0010579259135569128,0.02325501507361811,0.037011347454003675,0.021144650199598537,0.0010551294075880394,0.0,0.0010552928267899386,0.0010551475586383237,0.014774941280972663,0.022153692950822368,0.020045457726571476,0.0052770516897416575,0.06122834864675853
stellenbosch,1.3944330718755107,0.03166792888209295,0.0,0.03170550113074706,0.0,0.6576484606016284,0.7449985992418077,0.19404569211157596,7.362852213544253,2.8994885083215873,0.007929953294454574,3.2727139922400217,2.459557806841808,0.0,13.283008877419867,0.0,0.0,0.0,6.252145496614307,0.003960459625519423,0.0,0.007923090185671625,0.031678053049825725,0.18620071412661654,1.6993513964768765,0.6655085125948805,0.1108840615222445,0.5150133358286487,1.0301153954779612,0.9389218082031362,0.011887226313446325,7.791904302614114,0.0,0.0,0.0,0.0,0.0,0.027715962659077734,0.0,0.011877959579968652,0.0,5.1509031544193755,0.0,0.0,0.03960864417365788,0.003959292077266409,0.49927331766481603,0.011876959993870017,0.15452092150335694,0.443862872336679,0.35252825755693196,0.015844267003847536,1.5449334268064074,0.4318681073214,0.031686684414139694,0.0,0.03169145157937942,0.011880880817607811,0.05547578484737409,0.0,0.01187564957882892,0.0,0.10700213997851955,0.1387266285169822,0.0,0.0,1.3269360226673674,0.003963719745655391,0.0039638872358356385,0.11886997947622593,0.24173098774536317,0.07918621491815715,0.5545559618383957
steve tshwete,0.7396699221151131,0.30138565490652214,0.0009035526070476219,0.015314600216295673,0.0,0.11537400562778802,0.005400782101304489,2.2000100408772214,17.407499184298494,1.593460199681246,0.0,0.17207008011555133,0.04320799974630741,0.0,0.0,0.0,0.0,0.0,2.8691098667329276,0.026137910861326788,0.0018035063608683264,0.09458886143320343,0.27627235105217285,8.040206438492435,0.0,0.6669943958191601,0.9525499622186117,1.5371113063820554,2.4340228836409055,0.21911236704552667,0.002706230101845404,0.0,0.0,0.0,0.0,0.0,1.7986877857900074,1.2007074352781797,0.0,0.1659972937310583,0.0,23.662292740348818,0.0,0.0,0.5213973740487408,0.030653962601927785,0.0017994900561509742,0.39831124584870686,2.4145133397781353,0.46388916637686184,0.6615738188775675,0.1602737867806143,0.636582815824094,0.20546116115770205,0.028815196437246896,0.0008993124913130503,0.043240731624106965,0.0018037439933053009,0.1649817626367508,0.0,0.015317841107082442,0.009008084201079963,0.2197891581505415,0.03692699159555955,0.0,0.0,0.4649791304352094,0.0018035212773170337,0.0054067447702595365,0.03608767500288737,0.027033173729205877,0.04686973413179023,0.16941925614901837
sundays river valley,0.06709781043209771,0.0,0.0005549932893073815,0.01053867830018851,0.0027812267130564307,0.016634212209159383,0.27008324080437857,0.1726446996729541,6.382354725134374,0.21480338566848067,1.274937495620865,8.057768640931332,2.7862743961664247,0.0,0.0,0.0,0.0,0.0,20.079143417770847,0.010543261271777566,0.01441796613279286,0.17755143482523636,0.35558940248064624,0.8512132839151286,0.09499849743513039,0.9366049137104363,0.02496094202230034,0.02163338834433031,0.10150051898302707,0.29617190692859025,0.0,2.722601113904688,0.01162361400693108,1.4722920469046252,0.15026961837893757,0.0,0.0,0.0027729419340775325,0.0,0.0,0.0005561288448058968,8.01974055407993,0.0,0.0,0.009429019800122184,0.019400518118189516,0.06437619677438332,0.03494665582784816,5.716351063210683,1.1074798115373854,0.09871875553354649,0.02717488085825817,0.17354974023269987,0.054926016913018655,0.0005548549200560217,0.0,0.003883414068508763,0.0,0.09377470179269073,0.0,0.0,0.0,0.0,0.0,0.0011083214027391762,0.0,0.06560176132319981,0.0005543488269095483,0.0,0.0016621291977096833,0.0038782403898143707,0.010537517980190604,0.08043609263450018
swartland,0.1322275279653556,0.00629746079194014,0.0017990377050208423,0.01978917110246202,0.014409652844338382,0.053986706167325975,0.04310855563580336,0.8927183161558074,2.436324582440879,0.24108771524163097,0.0,0.11169715129387113,0.3919326677918877,0.0,3.34488162901182,0.0,0.0,0.0,1.3250396246937977,0.0862284529061043,0.012563747699358302,0.018904107438127468,0.017102144630161468,0.24284558533847855,4.352495708180133,0.13868608811565425,0.1539734096085484,0.8476127813585825,0.7539861699388324,0.12866466254164718,0.0,9.53123309024531,0.0,0.015284295393120954,0.0,0.0,0.0026969618616041486,0.06296726235368284,0.0,0.012587921683383456,0.0,1.5793187071114048,0.0,0.0,0.07823426167013049,0.0,0.0036041739169687128,0.013494630722419104,0.13499636721486385,0.0970855249599723,0.09356077701038719,0.0027006300700272395,0.4318627731272939,0.04499520462730368,0.00360590990533555,0.0,0.036959641616851266,0.0,0.13031021918430116,0.0,0.0008996488593419258,0.0,0.0008996302819827538,0.0,0.0,0.0,0.022489446257883686,0.0008973761950477052,0.001799502129103593,0.02158025367284171,0.005396960564136949,0.09083007535773802,0.20684320808345835
swellendam,0.11538768999139815,0.0025876278606031043,0.0,0.08094406745747072,0.0034633896767176735,0.014650738272843068,1.2479749221523955,0.585804519832988,3.808430595109671,0.4990853301344753,0.10938447813909316,0.8437575185891134,0.6878606285100687,0.0,0.05083589882213586,0.0,0.0,0.0,1.4744405822124047,0.01548510773040427,0.036254711159670404,0.08970291394986994,0.010325238731854874,0.12144473756543238,1.8347565356654731,0.09140254222614479,0.046496529398574744,0.26484096130681123,0.7232549433383111,0.07244031285250067,0.0,9.459183293782505,0.0,0.0,1.3282024101509604,0.0,0.0,0.01121917882324419,0.0,0.0,0.0043223523061987875,4.9351830903036005,0.0,0.0,0.0034569104527535964,0.07337791500669247,1.0061343820715842,0.0008593405860838336,0.14971880368493684,3.010526204992383,0.03273144458351131,0.006885860573996124,0.13794665449593774,0.015507004575175582,0.0008621706363348362,0.0,0.003448189716809662,0.0,0.14314743260616064,0.0,0.0,0.0,0.006896305948070294,0.0008620428050647447,0.0,0.0,0.134471576694231,0.0008618603267104474,0.0,0.023277991803381127,0.0,0.030185577605001245,0.13199336233512646
thaba chweu,0.3870304869990871,0.008215965369234048,0.0,0.018919617965665027,0.0,0.02842899657843946,0.0701599209737503,0.890841403652636,3.453303956189958,5.224683579936371,2.4028528203312214,3.1989588349719713,0.5774947134983709,0.0,0.0,0.0,0.0,0.0,7.847724084506576,0.0006323397421914604,0.046801469081976584,0.03284951870722404,0.08714401860578341,2.31818992738882,0.0006327882782820464,0.3095762880273901,0.5587594995972316,0.34193473366369,1.6322392930609704,0.04550159315673491,0.0006318097882435003,0.0,0.0,0.0006330978485374999,0.0,0.0,0.023383989020994138,0.04231961074101212,0.0,0.019591896320095777,0.0,8.40481768956176,0.0,0.0,0.0018963534810712414,0.0025189917519181575,0.4044988404668118,1.1058029234958857,3.1523804327347476,0.24702214517230459,0.21342547149094376,0.08454716859109032,0.4295897723801522,0.202698686550213,0.004422993145266537,0.0,0.006948147133084972,0.005051876040461351,0.06889063902312567,0.0,0.002526603785356671,0.0012635091489804615,0.053055190631309625,0.005686421940859192,0.0,0.20897685075845243,2.026257104680375,0.0,0.0025276195248264254,0.007576112379177809,0.004423299324574352,0.046092085191603696,0.11368610144168224
thabazimbi,0.12018203459425986,0.03309557127344024,0.0,0.015163999956851727,0.0,0.009408447234072699,0.08324498098091716,1.9704729501032827,4.3876878084769775,0.013927283176322528,0.0,0.041130563263170425,0.009734194503320599,0.0,0.0,0.0,0.0,0.0,10.348821515832013,0.001931593774471104,0.03298658282202608,0.0029198725303669158,2.60753244962464,0.09924163511651098,0.0,0.3305108000005293,0.013589104147402978,0.19577562991914477,0.2748155343129938,0.026884430468442695,0.0,0.0,0.0,0.0,0.0,0.0,0.19355952844322544,0.06356384482506723,0.0,0.03471683977463367,0.0,3.510325920653594,0.0,0.0,0.011646173752522205,0.09480167862117901,0.017476873453141688,0.031072275274273916,4.218369131865572,0.038901676264936215,0.028563381660188798,0.12448776816725288,0.02268781955320762,0.028852286479532384,0.010052128625240655,0.012969168855520977,0.014268873080479924,0.0006486488971985808,0.04337934885430248,0.0,0.002922759947611732,0.19877106770238712,0.03540142766806977,0.13876911963412059,0.006796830864619757,0.0,0.0,0.0,0.007134096178823211,0.0055122932711753015,0.0035670865529161076,0.0006496447324979987,0.014580307051998241
theewaterskloof,1.8415100075970388,0.0020251770462072246,0.0010122439427293446,0.029355619366734524,0.0,0.05265175738881198,0.5668977207077888,0.8039755208136262,5.971857514106149,0.7468916808490417,0.06271337673546797,2.841751784125698,4.434359123798021,0.0,0.46701583543227393,0.0,0.0,0.0,3.9537935269263254,0.006073417007876034,0.00607888132202114,0.03342193698013841,0.0,0.044565238338514786,1.0794203510188265,0.1812528320771801,0.043524729159412676,0.2894313401545884,0.8722207135196852,0.17312137561001847,0.0,12.572531509726767,0.0,0.0,0.0,0.0,0.006070690102145976,0.0131715105379881,0.0,0.0,0.0,3.322750342100373,0.0,0.0,0.015180318983048596,0.004045989776831841,0.3166991392243277,0.004045752995098995,0.0010115347894393961,0.3239875115068946,0.09617179882215354,0.0,0.25706230926940404,0.03641586443485965,0.009104782658260252,0.0,0.03745634831297428,0.0,0.12659459120492803,0.0,0.0,0.0,0.016191225124682563,0.030352978714989154,0.0,0.014158282819942197,1.0458130556388858,0.0020245579213170155,0.0,0.02530206074121486,0.011136401827690965,0.08203511383906019,0.28752075434466506
thembelihle,0.04102086850680154,0.011661290602330324,0.001293234887250123,0.009472074927934792,0.0,0.008195663259378039,0.025448426892400837,1.3035433842379605,0.10515338512054556,0.0017273325332306808,0.0,0.019359976454201316,0.01598374781995465,0.0,0.0,0.0,0.0,0.0,0.15638731173659873,0.40581761033983166,0.1450965290513388,0.0,0.012504902251170052,0.13294769873445575,0.029791569970974107,0.005161323909739962,0.0030174281740806205,0.05220924954275391,0.11785184156715174,0.009059718948539165,0.0,0.0,13.626092006589635,0.8588079248928843,0.0,0.0,0.0,0.07868579183310315,0.005179774856913008,0.0,0.0,7.060713800233501,0.0,0.0,0.2355187593188744,0.08578181387781725,0.00043330640836880183,0.002590546758321717,0.8252603257196248,0.040666549367400134,0.0012962088712106248,0.005178393337528425,0.032381046496125,0.0021590405172436885,0.0,0.0,0.009490417971195868,0.0,0.033680367426359964,0.0,0.0,0.0004319455353592797,0.0017277355899644473,0.0025915258026528998,0.22076555105977322,0.0,0.0,0.0,0.0,0.0012948217079260462,0.0,0.002158546603046301,0.03753252033304141
thembisile hani,0.09349311495628494,0.007540025901172698,0.0,0.037709922280169984,0.0,0.09945045440612235,0.0,0.5822922238597045,6.626202232368744,0.5220899358927281,0.0,0.19010626182009524,0.0,0.0,0.0,0.0,0.0,0.0,5.597194618038056,0.0015071403236824616,0.018076882424579704,0.08152028171724984,2.153360685302895,5.712711446214438,0.0,0.5958811873704486,0.5024575496285453,0.16595179427294712,1.1899671501479885,0.03768143915636127,0.0,0.0,0.0,0.0,0.0,0.0,0.006035588224455585,0.2684777559066877,0.0,0.009052478357624391,0.0,17.94614026886227,0.0,0.0,0.024115929895972003,0.036227391573731435,0.012067296596095966,0.4813056885711389,11.119438215308099,0.18116303882284474,1.1772153414187396,1.865488263306803,3.133374432900313,0.27278376317500946,0.03466145116019464,0.054264972580486445,0.2140022968442979,0.0,0.1161223253497913,0.0,0.0,0.0,0.0,0.0,0.0,0.8406029241643547,0.004530749271294595,0.0015075445594507418,0.0,0.0,0.0,0.10852836426132548,0.1010251358240094
thulamela,0.1738176363014411,0.0,0.0,0.020807696147676785,0.0,0.08206098863666184,0.0,0.0,0.02364801713524005,2.477794315045732,0.4817736323966508,8.247817740915604,0.9692591514607367,0.0,0.0,0.0,0.0,0.0,18.96299259297268,0.0013899866571983293,0.0,0.0027828862030249858,1.5466666065059815,0.006947539574247136,0.0,5.907821018606408,0.00833915130401601,0.05976369995990531,0.04031191537326488,0.022253336122338544,0.0,0.0,0.0,0.0,0.0,0.0,0.019412463424835318,0.018072412848150563,0.0,0.0,0.0,0.6175551130842868,0.04448212604430324,0.0,0.0,0.006943139689944082,0.018036498453341758,0.23222334416967708,9.128586152230234,0.13598833007102196,1.0220270119548138,7.635323423306099,0.24470066879289085,5.836306385325734,0.0,0.01389338056506145,0.0,0.020848192108922026,0.02360499202870965,0.0,0.0,0.0,0.0,0.0,0.022221690013305952,2.880214240275757,0.0013907779362225606,0.0,0.004168820496536521,0.0,0.0013910732414367428,0.0,0.02502165448627884
