Municipality,Barren Land,Built-up,Cultivated,Forested Land,Forested land,Grassland,Mines & Quarries,Shrubland,Waterbodies,Wetlands
edumbe,0.44584929696967407,4.378617773708913,12.6740084146562,0.07274825659604359,35.22685162650434,19.176016784194356,0.010924966105097774,0.00364062808847369,0.24565856731888566,1.2810485480681837
ekurhuleni,0.658482999878587,38.88656265978451,14.681464337565227,0.0,6.603306728623612,16.41280396720344,2.38720186382385,0.19514752430944327,1.3914075046345595,4.68079321938365
elias motsoaledi,1.0815701352786617,7.329203941346372,17.017106433048227,0.0,34.98648253828216,13.613379532172724,0.3094640096307501,0.0,0.25428314051444445,1.1505008574126037
elundini,0.8995784718121771,4.550378460501409,12.443733608857377,0.20055774396848983,13.724512876648022,8.498916417619,0.008194411228697851,0.0,0.1890847863234854,2.1912946294903075
emadlangeni,0.7912293635945766,1.1681616782744624,15.621471761954284,0.8779276952967165,10.856500562844758,5.2138627238456206,0.07783665575018144,0.0,0.7398536610569961,4.250274081693833
emakhazeni,0.7474409210986634,0.7920392688992874,15.557964102608556,0.38298615695024424,17.55491793796655,11.161036039569716,0.5415147276605927,0.0,0.4097899459115564,2.644597902337114
emalaheleniec,3.334546592945652,6.170354903072309,18.107076165682134,0.0331709643107759,5.136526932478304,4.1009569344388135,0.019477144052874963,0.047783395483392374,0.7356273655779528,0.12169115666635574
emalahelenimp,0.642349816813438,6.160772726536133,28.77751046040335,0.0,3.960945514768021,21.97349839597149,8.686883342467851,0.0,1.9456980645831057,4.9787077668002295
emfuleni,0.5642047206022826,27.19356529797488,19.441504177189103,0.0,4.773127404373104,17.2724027146352,0.6675214510594233,0.0,0.6050809714946594,3.436473096993424
emthanjeni,3.2002600879557592,0.3245575153043841,1.1726324776877597,0.0,0.8377759149393407,14.23730754910555,0.04424332937400313,17.981245955252355,0.29613032726722727,0.4534658952049806
endumeni,1.4723504129431009,2.6862421056773074,22.545419784538527,0.18113765645933472,12.379578896804512,9.674345456946256,0.1003531181387465,0.0,0.4994757131238987,3.0777762902322983
engcobo,1.3769201846378702,13.115762051185916,22.421652057083286,1.978569932894076,11.459623116017417,20.40594230543647,0.027363778338081502,0.0,0.2842172459411469,0.10785883915702676
enoch mgijima,1.9144056758032997,1.4080948624279621,5.087015274584381,0.010269077393939455,6.221323008514843,1.6706192239944444,0.02120135066896182,1.7690981092040956,0.36414437136960615,1.8510762296524657
ephraim mogale,0.33042351210610316,5.690691005613416,14.759994770368367,0.0,12.082951228595734,8.496567976895024,0.11318215728515281,0.0,1.3914093295787897,0.31807345499077333
ethekwini,0.5235120201504493,44.49347640844833,10.469763962212907,3.761040497432212,20.46280862063519,9.177051126420194,0.16361396034463724,0.0,1.3114826218072484,0.5398398404691915
fetakgomo tubatse,3.701746811566864,8.464768427781454,12.311112231318429,0.05776621039736972,24.870892917137674,16.42031309070065,0.9866852939898124,0.0,0.23541426031529766,0.45820973099115714
ga-segonyana,0.10824186683410214,2.2952582030283546,1.6518083623185391,0.0,18.953774294781212,6.988918935297832,0.04786559448686308,0.477716563373243,0.13961558864904322,0.0
gamagara,0.28041738085510104,1.2615535484980969,0.7610583940676466,0.0,15.067143175898533,7.292836015315167,2.8783229010172384,1.2169421708442432,0.04536542161826563,0.0
ganyesapomfret,0.0830685705858024,0.6886795511799098,12.747599430935313,0.0,30.8130157194582,17.78967925076034,0.04154907402999099,0.06047757619547348,0.01653190922674747,0.0
george,3.3606457224709607,1.5309261498412297,14.750568622116624,0.9003165512133552,13.332461549828027,9.873183470599562,0.00704904348538032,12.587143495170452,0.1979475689568776,0.4815114603527358
govan mbeki,0.1653539467961572,3.505601509437792,31.400292140834686,0.0,1.2464135858542187,23.384257669102205,0.9426279292166204,0.0,1.435211870354577,7.421056013601787
great kei,0.09687056459096685,1.450702782397258,9.599000167751393,0.29231416333736343,24.69676897672688,5.543065398183027,0.009882907235678596,0.0019768953165522655,0.2253624407626185,0.08294466304454284
greater giyani,0.29208933859268466,5.064946612158792,16.341496065192917,0.0,9.748497518824886,1.9608323644747248,0.024555097232983332,0.0,0.18496906693751286,0.03244396065089176
greater kokstad,0.10908358036653772,0.8774354838118218,23.425231860854954,0.007716040376964503,8.635040992235808,6.263777848525645,0.025744424921485685,0.0,0.9042997179629122,4.361045186357849
greater letaba,0.4678430443330914,7.801414236820224,25.850659412764116,0.11377637634720988,27.233368744835506,2.7640726316499493,0.026962302335138615,0.0,0.1695038642516691,0.2504665839247349
greater taung,0.12484832428952296,3.5429383028182437,3.7731964111268876,0.0,15.106676815205795,21.558279665008865,0.06649378721614811,0.08279726811828969,0.38293519571274176,0.10453844071443258
greater tzaneen,0.09556650144935847,9.64858001306003,18.363740124082025,1.248300955186995,42.46575626180876,2.152187865047061,0.031440434253131574,0.0,0.949434410227868,0.5396751189101596
hantam,23.02631788463671,0.22382894164896006,2.3144077703995953,0.0,1.3494743921946,6.126254885924579,0.023422198236723642,28.201147914696257,0.3420395530941494,0.042678383638289796
hessequa,1.446623929580264,0.631830291918399,17.851442130379557,0.10179616204576045,7.1223261254598125,3.4038082940407284,0.033406064093178825,15.200951865567857,0.11407294455340497,1.0214183797650132
